"1";"a";"105";"4.603";"9.825";"0.117"
"2";",";"105";"3.265";"9.181";"-1.221"
"3";"končit";"61";"12.217";"7.809";"7.707"
"4";".";"56";"2.530";"6.188";"-1.955"
"5";"-";"27";"5.138";"5.049";"0.652"
"6";"být";"15";"1.344";"2.348";"-3.141"
"7";"přes";"12";"7.089";"3.439";"2.600"
"8";"ten";"10";"2.079";"2.414";"-2.406"
"9";"konče";"9";"14.894";"3.000";"9.589"
"10";"či";"8";"5.890";"2.781";"1.403"
"11";"všechen";"8";"4.322";"2.687";"-0.164"
"12";"různý";"7";"6.642";"2.619";"2.152"
"13";"s";"6";"2.164";"1.903";"-2.322"
"14";"(";"6";"3.468";"2.228";"-1.018"
"15";"on";"5";"1.923";"1.647";"-2.562"
"16";"se";"5";"0.243";"0.347";"-4.242"
"17";"až";"5";"4.430";"2.132";"-0.057"
"18";"v";"4";"0.346";"0.426";"-4.140"
"19";"po";"4";"3.138";"1.773";"-1.348"
"20";"do";"4";"2.089";"1.530";"-2.397"
"21";"pro";"4";"2.909";"1.734";"-1.577"
"22";"dnešek";"4";"10.443";"1.999";"5.848"
"23";"celý";"4";"4.452";"1.909";"-0.035"
"24";"systém";"3";"5.303";"1.688";"0.814"
"25";":";"3";"2.555";"1.437";"-1.931"
"26";"prvek";"3";"7.158";"1.720";"2.658"
"27";"škola";"3";"5.341";"1.689";"0.851"
"28";"z";"3";"1.366";"1.060";"-3.120"
"29";"úřad";"3";"6.733";"1.716";"2.236"
"30";"město";"3";"4.845";"1.672";"0.356"
"31";"""";"3";"-0.033";"-0.041";"-4.519"
"32";"který";"3";"1.488";"1.115";"-2.997"
"33";"tento";"3";"2.912";"1.502";"-1.574"
"34";"na";"3";"0.232";"0.258";"-4.253"
"35";"literatura";"3";"7.951";"1.725";"3.440"
"36";"veřejný";"3";"6.892";"1.717";"2.394"
