"1";",";"65";"2.738";"6.854";"-1.912"
"2";".";"54";"2.643";"6.172";"-2.008"
"3";"a";"34";"3.141";"5.170";"-1.509"
"4";"se";"34";"3.175";"5.185";"-1.476"
"5";"být";"31";"2.557";"4.622";"-2.094"
"6";"všechen";"19";"5.736";"4.277";"1.084"
"7";"""";"19";"2.795";"3.731";"-1.856"
"8";"v";"18";"2.681";"3.581";"-1.970"
"9";"ten";"18";"3.093";"3.745";"-1.558"
"10";"na";"12";"2.398";"2.807";"-2.253"
"11";"-";"11";"4.008";"3.111";"-0.643"
"12";"i";"11";"3.974";"3.106";"-0.677"
"13";"on";"10";"3.089";"2.791";"-1.562"
"14";"že";"10";"3.092";"2.791";"-1.559"
"15";"který";"9";"3.239";"2.682";"-1.412"
"16";"svůj";"8";"4.113";"2.665";"-0.538"
"17";"sám";"7";"6.022";"2.605";"1.369"
"18";"ale";"7";"3.333";"2.383";"-1.318"
"19";"do";"6";"2.839";"2.107";"-1.812"
"20";"s";"5";"2.066";"1.702";"-2.585"
"21";"co";"5";"3.260";"2.003";"-1.391"
"22";"já";"5";"3.017";"1.960";"-1.634"
"23";"oni";"5";"3.593";"2.051";"-1.058"
"24";"už";"4";"3.527";"1.826";"-1.125"
"25";"třeba";"4";"5.383";"1.952";"0.729"
"26";"pro";"4";"3.075";"1.763";"-1.577"
"27";"jak";"4";"3.512";"1.825";"-1.140"
"28";"nebo";"4";"3.685";"1.844";"-0.967"
"29";"čas";"4";"5.429";"1.954";"0.775"
"30";"mimo";"4";"7.219";"1.987";"2.558"
"31";"mít";"4";"2.143";"1.547";"-2.508"
"32";"jen";"4";"3.669";"1.843";"-0.983"
"33";"jeho";"4";"3.867";"1.863";"-0.785"
"34";"jejich";"3";"4.341";"1.647";"-0.311"
"35";"dokázat";"3";"5.372";"1.690";"0.718"
"36";"právě";"3";"5.197";"1.685";"0.543"
"37";"nový";"3";"4.122";"1.633";"-0.531"
"38";"růst";"3";"6.714";"1.716";"2.054"
"39";"český";"3";"4.685";"1.665";"0.032"
"40";"proti";"3";"5.520";"1.694";"0.865"
"41";"evropský";"3";"6.322";"1.710";"1.664"
"42";"patřit";"3";"5.788";"1.701";"1.133"
"43";"(";"3";"2.634";"1.453";"-2.018"
"44";":";"3";"2.720";"1.469";"-1.931"
"45";"?";"3";"2.323";"1.386";"-2.328"
"46";"život";"3";"4.656";"1.663";"0.003"
"47";"kolem";"3";"5.427";"1.692";"0.773"
"48";"u";"3";"3.601";"1.589";"-1.050"
"49";"říci";"3";"3.797";"1.607";"-0.855"
"50";"hlavně";"3";"6.470";"1.713";"1.812"
"51";"politický";"3";"6.759";"1.716";"2.099"
"52";"navzdory";"3";"8.529";"1.727";"3.846"
"53";"muset";"3";"3.653";"1.594";"-0.999"
"54";"o";"3";"2.078";"1.322";"-2.573"
"55";"z";"3";"1.531";"1.133";"-3.120"
