"1";"být";"30";"4.719";"5.269";"-2.141"
"2";",";"16";"2.925";"3.473";"-3.935"
"3";".";"13";"2.798";"3.087";"-4.062"
"4";"se";"7";"3.104";"2.338";"-3.756"
"5";"i";"7";"5.531";"2.589";"-1.329"
"6";"""";"6";"3.342";"2.208";"-3.519"
"7";"jak";"5";"6.043";"2.202";"-0.817"
"8";"že";"5";"4.301";"2.123";"-2.559"
"9";"k";"4";"4.796";"1.928";"-2.064"
"10";"tak";"4";"5.403";"1.953";"-1.457"
"11";"na";"3";"2.607";"1.448";"-4.253"
"12";"ale";"3";"4.320";"1.645";"-2.540"
"13";"teď";"3";"7.069";"1.719";"0.208"
"14";"jako";"3";"4.738";"1.667";"-2.122"
