"1";"být";"79";"4.641";"8.532";"-0.744"
"2";",";"23";"1.973";"3.574";"-3.411"
"3";"se";"16";"2.821";"3.434";"-2.564"
"4";"on";"11";"3.960";"3.104";"-1.425"
"5";"a";"10";"2.110";"2.430";"-3.275"
"6";".";"10";"0.944";"1.518";"-4.441"
"7";"já";"8";"4.429";"2.697";"-0.956"
"8";"člověk";"6";"5.287";"2.387";"-0.098"
"9";"pravda";"6";"8.015";"2.440";"2.626"
"10";"""";"5";"1.603";"1.500";"-3.782"
"11";"my";"5";"5.161";"2.174";"-0.224"
"12";"ten";"5";"1.979";"1.669";"-3.406"
"13";"který";"5";"3.124";"1.980";"-2.260"
"14";"smrt";"4";"7.676";"1.990";"2.287"
"15";"že";"4";"2.504";"1.647";"-2.881"
"16";"v";"4";"1.245";"1.156";"-4.140"
"17";"blízko";"3";"8.326";"1.727";"2.931"
"18";"tento";"3";"3.812";"1.609";"-1.573"
"19";"náš";"3";"5.100";"1.682";"-0.285"
