"1";"a";"104";"5.081";"9.897";"0.104"
"2";"počínaje";"75";"15.973";"8.660";"10.860"
"3";",";"45";"2.535";"5.551";"-2.443"
"4";"být";"28";"2.737";"4.498";"-2.240"
"5";"se";"25";"3.058";"4.400";"-1.920"
"6";"počínat";"12";"13.518";"3.464";"8.388"
"7";"v";"11";"2.297";"2.642";"-2.680"
"8";"ten";"9";"2.420";"2.439";"-2.558"
"9";"-";"9";"4.046";"2.818";"-0.932"
"10";"s";"9";"3.241";"2.683";"-1.737"
"11";"mít";"8";"3.470";"2.573";"-1.508"
"12";"ale";"8";"3.853";"2.633";"-1.125"
"13";"či";"8";"6.383";"2.795";"1.403"
"14";"""";"8";"1.874";"2.057";"-3.104"
"15";"i";"7";"3.649";"2.435";"-1.329"
"16";"všechen";"6";"4.400";"2.333";"-0.579"
"17";"na";"6";"1.725";"1.708";"-3.253"
"18";"já";"5";"3.344";"2.016";"-1.634"
"19";"tento";"5";"4.142";"2.109";"-0.836"
"20";"z";"5";"2.595";"1.866";"-2.383"
"21";".";"4";"-0.785";"-1.446";"-5.763"
"22";"o";"3";"2.405";"1.405";"-2.573"
"23";"škola";"3";"5.833";"1.702";"0.853"
"24";"jako";"3";"2.856";"1.493";"-2.122"
"25";"tak";"3";"3.105";"1.531";"-1.873"
"26";"alespoň";"3";"7.306";"1.721";"2.320"
"27";"že";"3";"1.682";"1.192";"-3.296"
"28";"u";"3";"3.928";"1.618";"-1.050"
"29";"co";"3";"2.850";"1.492";"-2.128"
"30";"když";"3";"3.334";"1.560";"-1.645"
