"1";",";"13";"2.582";"3.003";"-4.234"
"2";"se";"13";"3.953";"3.373";"-2.863"
"3";"nechat";"12";"9.583";"3.460";"2.767"
"4";"být";"11";"3.228";"2.963";"-3.588"
"5";"a";"7";"3.026";"2.321";"-3.789"
"6";"vydat";"7";"10.186";"2.643";"3.368"
"7";"vydaný";"5";"13.030";"2.236";"6.193"
"8";"""";"4";"2.712";"1.695";"-4.104"
"9";".";"4";"1.053";"1.036";"-5.763"
"10";"ty";"4";"6.988";"1.984";"0.172"
"11";"oni";"3";"5.021";"1.679";"-1.795"
"12";"s";"3";"3.494";"1.578";"-3.322"
"13";"ale";"3";"4.276";"1.643";"-2.540"
"14";"v";"3";"2.261";"1.371";"-4.555"
"15";"tak";"3";"4.943";"1.676";"-1.873"
