"1";".";"85";"3.298";"8.282";"-1.353"
"2";",";"63";"2.693";"6.710";"-1.958"
"3";"všechen";"46";"7.011";"6.730";"2.360"
"4";"se";"33";"3.132";"5.089";"-1.519"
"5";"a";"31";"3.008";"4.876";"-1.643"
"6";"být";"28";"2.410";"4.296";"-2.240"
"7";"""";"17";"2.635";"3.459";"-2.016"
"8";"ten";"16";"2.923";"3.473";"-1.728"
"9";"v";"15";"2.418";"3.148";"-2.233"
"10";"on";"14";"3.574";"3.428";"-1.077"
"11";"-";"10";"3.871";"2.946";"-0.780"
"12";"na";"10";"2.135";"2.442";"-2.516"
"13";"i";"8";"3.515";"2.581";"-1.137"
"14";"který";"8";"3.069";"2.491";"-1.582"
"15";"svůj";"7";"3.920";"2.471";"-0.731"
"16";"válka";"7";"7.630";"2.632";"2.972"
"17";"co";"5";"3.260";"2.003";"-1.391"
"18";"ale";"5";"2.848";"1.925";"-1.803"
"19";"?";"5";"3.060";"1.968";"-1.591"
"20";"oni";"5";"3.593";"2.051";"-1.058"
"21";"sám";"5";"5.537";"2.188";"0.884"
"22";"(";"4";"3.049";"1.758";"-1.603"
"23";"že";"4";"1.770";"1.414";"-2.881"
"24";"já";"4";"2.695";"1.691";"-1.956"
"25";":";"4";"3.135";"1.772";"-1.516"
"26";"jeho";"4";"3.867";"1.863";"-0.785"
"27";"už";"3";"3.112";"1.532";"-1.540"
"28";"do";"3";"1.839";"1.248";"-2.812"
"29";"starosta";"3";"8.083";"1.726";"3.409"
"30";"jejich";"3";"4.341";"1.647";"-0.311"
"31";"právě";"3";"5.197";"1.685";"0.543"
"32";"Donald";"3";"10.131";"1.731";"5.387"
"33";"růst";"3";"6.714";"1.716";"2.054"
"34";"silnice";"3";"7.434";"1.722";"2.769"
"35";"evropský";"3";"6.322";"1.710";"1.664"
"36";"stát";"3";"3.726";"1.601";"-0.926"
"37";"život";"3";"4.656";"1.663";"0.003"
"38";"o";"3";"2.078";"1.322";"-2.573"
"39";"říci";"3";"3.797";"1.607";"-0.855"
"40";"jak";"3";"3.097";"1.530";"-1.555"
"41";"muset";"3";"3.653";"1.594";"-0.999"
"42";"s";"3";"1.329";"1.043";"-3.322"
"43";"mít";"3";"1.728";"1.209";"-2.923"
"44";"však";"3";"4.551";"1.658";"-0.102"
"45";"jen";"3";"3.253";"1.550";"-1.398"
"46";"chtít";"3";"3.682";"1.597";"-0.970"
"47";"Evropa";"3";"6.661";"1.715";"2.002"
"48";"čas";"3";"5.014";"1.678";"0.360"
"49";"proti";"3";"5.520";"1.694";"0.865"
