"1";",";"206";"3.472";"13.060";"-0.248"
"2";"být";"84";"3.065";"8.070";"-0.655"
"3";".";"77";"2.225";"6.898";"-1.496"
"4";"a";"63";"3.101";"7.012";"-0.620"
"5";"se";"53";"2.885";"6.295";"-0.836"
"6";"ten";"41";"3.350";"5.775";"-0.371"
"7";"na";"33";"2.927";"4.989";"-0.794"
"8";"v";"29";"2.439";"4.392";"-1.282"
"9";"""";"22";"2.077";"3.578";"-1.644"
"10";"mít";"19";"3.461";"3.963";"-0.260"
"11";"i";"18";"3.754";"3.928";"0.033"
"12";"s";"16";"2.814";"3.431";"-0.907"
"13";"-";"16";"3.619";"3.674";"-0.103"
"14";"o";"15";"3.470";"3.523";"-0.251"
"15";"ani";"14";"5.410";"3.654";"1.686"
"16";"(";"13";"3.819";"3.350";"0.097"
"17";"když";"13";"4.192";"3.408";"0.470"
"18";"k";"13";"3.357";"3.254";"-0.364"
"19";"on";"13";"2.537";"2.984";"-1.184"
"20";"z";"12";"2.601";"2.893";"-1.120"
"21";"co";"9";"3.178";"2.669";"-0.544"
"22";"tento";"9";"3.733";"2.774";"0.011"
"23";"tenhle";"8";"5.448";"2.764";"1.722"
"24";"do";"8";"2.324";"2.264";"-1.397"
"25";"všechen";"7";"3.365";"2.389";"-0.357"
"26";"pro";"7";"2.952";"2.304";"-0.770"
"27";"že";"7";"1.647";"1.801";"-2.074"
"28";"u";"7";"3.894";"2.468";"0.171"
"29";"než";"7";"4.160";"2.498";"0.437"
"30";"oni";"7";"3.148";"2.347";"-0.573"
"31";"ale";"6";"2.181";"1.909";"-1.541"
"32";"který";"6";"1.724";"1.708";"-1.998"
"33";"už";"6";"3.182";"2.180";"-0.541"
"34";"svůj";"6";"2.768";"2.090";"-0.954"
"35";"tam";"6";"4.517";"2.343";"0.793"
"36";"já";"6";"2.350";"1.969";"-1.372"
"37";"moci";"5";"2.393";"1.810";"-1.328"
"38";"za";"5";"2.504";"1.842";"-1.218"
"39";"třeba";"5";"4.775";"2.154";"1.049"
"40";"nikdy";"5";"5.174";"2.174";"1.446"
"41";"jejich";"5";"4.148";"2.110";"0.424"
"42";"nebo";"5";"3.076";"1.971";"-0.646"
"43";"kniha";"5";"5.787";"2.196";"2.056"
"44";"až";"5";"3.665";"2.060";"-0.058"
"45";"jiný";"5";"4.118";"2.107";"0.394"
"46";"nějaký";"5";"4.620";"2.145";"0.895"
"47";"dítě";"5";"4.220";"2.116";"0.496"
"48";"vy";"4";"3.607";"1.836";"-0.116"
"49";"jen";"4";"2.738";"1.700";"-0.984"
"50";"možná";"4";"4.971";"1.936";"1.242"
"51";"tak";"4";"2.263";"1.583";"-1.458"
"52";"či";"4";"4.126";"1.885";"0.401"
"53";"čas";"4";"4.498";"1.912";"0.772"
"54";"jenže";"4";"5.943";"1.967";"2.208"
"55";"tedy";"4";"4.358";"1.902";"0.633"
"56";"velký";"4";"3.172";"1.778";"-0.551"
"57";"pokud";"4";"4.324";"1.900";"0.599"
"58";"každý";"4";"3.962";"1.872";"0.237"
"59";"dobře";"4";"4.331";"1.901";"0.606"
"60";"malý";"4";"4.177";"1.889";"0.452"
"61";"jak";"4";"2.582";"1.666";"-1.140"
"62";"stačit";"4";"5.831";"1.965";"2.097"
"63";"jako";"4";"2.014";"1.505";"-1.708"
"64";"také";"4";"3.149";"1.775";"-0.574"
"65";"život";"4";"4.141";"1.887";"0.416"
"66";"auto";"3";"5.038";"1.679";"1.307"
"67";"po";"3";"1.959";"1.286";"-1.763"
"68";"váš";"3";"4.772";"1.669";"1.043"
"69";"země";"3";"4.070";"1.629";"0.344"
"70";"druhý";"3";"3.599";"1.589";"-0.125"
"71";"chtít";"3";"2.752";"1.475";"-0.971"
"72";"bez";"3";"3.831";"1.610";"0.106"
"73";"dát";"3";"3.547";"1.584";"-0.177"
"74";"však";"3";"3.621";"1.591";"-0.104"
"75";"jediný";"3";"4.891";"1.674";"1.161"
"76";"místo";"3";"3.484";"1.577";"-0.240"
"77";"nic";"3";"3.748";"1.603";"0.023"
"78";"evropský";"3";"5.392";"1.691";"1.658"
"79";"náš";"3";"3.436";"1.572";"-0.288"
"80";":";"3";"1.790";"1.231";"-1.932"
"81";"stále";"3";"4.662";"1.664";"0.933"
"82";"?";"3";"1.393";"1.073";"-2.328"
"83";"jmenovat";"3";"6.555";"1.714";"2.805"
"84";"další";"3";"3.087";"1.528";"-0.636"
"85";"její";"3";"3.363";"1.564";"-0.361"
"86";"práce";"3";"3.931";"1.619";"0.206"
"87";"najít";"3";"4.333";"1.646";"0.606"
"88";"jít";"3";"2.985";"1.513";"-0.738"
"89";"kdo";"3";"4.130";"1.633";"0.404"
"90";"žena";"3";"4.048";"1.627";"0.323"
"91";"vlastní";"3";"4.451";"1.653";"0.724"
"92";"jeden";"3";"2.581";"1.443";"-1.142"
"93";"vlastně";"3";"5.276";"1.687";"1.543"
"94";"vůbec";"3";"4.636";"1.662";"0.907"
"95";"aby|být";"3";"2.347";"1.392";"-1.375"
"96";"při";"3";"3.126";"1.534";"-0.598"
"97";"vysoký";"3";"4.073";"1.629";"0.347"
"98";"teprve";"3";"6.223";"1.709";"2.479"
