"1";",";"169";"3.545";"11.886";"-0.534"
"2";".";"150";"3.545";"11.198";"-0.534"
"3";"a";"40";"2.804";"5.419";"-1.275"
"4";"být";"37";"2.241";"4.796";"-1.838"
"5";"se";"36";"2.685";"5.067";"-1.394"
"6";"ten";"25";"2.995";"4.373";"-1.084"
"7";"-";"21";"4.369";"4.361";"0.290"
"8";"všechen";"21";"5.308";"4.467";"1.228"
"9";"člověk";"17";"5.484";"4.031";"1.403"
"10";"""";"17";"2.063";"3.136";"-2.016"
"11";"český";"16";"6.528";"3.957";"2.446"
"12";"na";"16";"2.241";"3.154";"-1.838"
"13";")";"14";"4.243";"3.544";"0.163"
"14";"(";"14";"4.284";"3.550";"0.204"
"15";"já";"13";"3.824";"3.351";"-0.256"
"16";"z";"12";"2.959";"3.019";"-1.120"
"17";"v";"12";"1.524";"2.260";"-2.555"
"18";"každý";"9";"5.490";"2.933";"1.408"
"19";"život";"8";"5.499";"2.766";"1.417"
"20";"i";"8";"2.943";"2.461";"-1.137"
"21";"náš";"7";"5.017";"2.564";"0.935"
"22";"země";"7";"5.650";"2.593";"1.567"
"23";"my";"7";"4.341";"2.515";"0.260"
"24";"s";"7";"1.980";"1.975";"-2.100"
"25";"republika";"7";"7.299";"2.629";"3.207"
"26";"dítě";"6";"4.841";"2.364";"0.759"
"27";"celý";"6";"4.631";"2.351";"0.549"
"28";"jeho";"6";"3.880";"2.283";"-0.200"
"29";"jako";"6";"2.957";"2.134";"-1.123"
"30";"žena";"6";"5.407";"2.392";"1.324"
"31";"!";"5";"3.943";"2.091";"-0.137"
"32";"obor";"5";"7.648";"2.225";"3.546"
"33";"nikdo";"5";"5.796";"2.196";"1.710"
"34";"svět";"5";"5.132";"2.172";"1.049"
"35";"tento";"5";"3.243";"2.000";"-0.837"
"36";"různý";"5";"5.750";"2.195";"1.665"
"37";"o";"4";"1.921";"1.472";"-2.158"
"38";"Evropa";"4";"6.504";"1.978";"2.413"
"39";"on";"4";"1.195";"1.126";"-2.884"
"40";"mít";"4";"1.571";"1.327";"-2.508"
"41";"proto";"4";"4.854";"1.931";"0.771"
"42";"tak";"4";"2.622";"1.675";"-1.458"
"43";"strana";"4";"4.787";"1.928";"0.704"
"44";"město";"4";"4.854";"1.931";"0.770"
"45";"druh";"4";"6.045";"1.970";"1.957"
"46";"sport";"4";"7.796";"1.991";"3.685"
"47";"co";"4";"2.366";"1.612";"-1.713"
"48";"nový";"3";"3.550";"1.584";"-0.531"
"49";"živočich";"3";"9.094";"1.729";"4.914"
"50";"platit";"3";"5.995";"1.705";"1.904"
"51";"sociologie";"3";"9.926";"1.730";"5.672"
"52";"pokud";"3";"4.268";"1.642";"0.185"
"53";"k";"3";"1.600";"1.161";"-2.480"
"54";"jiný";"3";"3.739";"1.602";"-0.342"
"55";"mluvit";"3";"5.080";"1.681";"0.995"
"56";"moci";"3";"2.015";"1.303";"-2.065"
"57";"svůj";"3";"2.126";"1.335";"-1.954"
"58";"oni";"3";"2.284";"1.376";"-1.796"
"59";"dokázat";"3";"4.801";"1.670";"0.716"
"60";"Jan";"3";"6.057";"1.706";"1.965"
"61";"ale";"3";"1.539";"1.136";"-2.541"
"62";"už";"3";"2.540";"1.434";"-1.540"
"63";"vojenský";"3";"7.220";"1.720";"3.113"
"64";"úplně";"3";"5.472";"1.693";"1.385"
"65";"bez";"3";"4.189";"1.637";"0.107"
"66";"či";"3";"4.069";"1.629";"-0.013"
"67";"sice";"3";"5.690";"1.698";"1.601"
"68";"žít";"3";"5.336";"1.689";"1.250"
"69";"známý";"3";"5.434";"1.692";"1.347"
"70";"všude";"3";"7.172";"1.720";"3.066"
"71";"...";"3";"3.457";"1.574";"-0.624"
