"1";",";"181";"3.612";"12.353";"-0.435"
"2";"být";"46";"2.522";"5.602";"-1.524"
"3";"a";"45";"2.942";"5.835";"-1.105"
"4";"se";"41";"2.840";"5.509";"-1.206"
"5";".";"33";"1.328";"3.457";"-2.718"
"6";"v";"32";"2.907";"4.903";"-1.140"
"7";"ten";"30";"3.225";"4.892";"-0.821"
"8";"všechen";"27";"5.638";"5.092";"1.591"
"9";"na";"25";"2.853";"4.308";"-1.194"
"10";"-";"22";"4.404";"4.469";"0.357"
"11";"""";"18";"2.113";"3.262";"-1.934"
"12";"(";"15";"4.351";"3.683";"0.304"
"13";"z";"15";"3.249";"3.466";"-0.798"
"14";"každý";"13";"5.988";"3.549";"1.939"
"15";"český";"13";"6.196";"3.556";"2.146"
"16";"i";"11";"3.370";"2.996";"-0.677"
"17";"člověk";"10";"4.686";"3.039";"0.638"
"18";"život";"10";"5.789";"3.105";"1.739"
"19";"mít";"10";"2.861";"2.727";"-1.186"
"20";"s";"9";"2.310";"2.395";"-1.737"
"21";"my";"8";"4.501";"2.704";"0.453"
"22";"tento";"8";"3.889";"2.637";"-0.159"
"23";"země";"8";"5.810";"2.778";"1.760"
"24";"různý";"8";"6.395";"2.795";"2.343"
"25";"celý";"8";"5.013";"2.741";"0.964"
"26";"že";"8";"2.166";"2.198";"-1.881"
"27";"jeho";"7";"4.070";"2.488";"0.022"
"28";"pro";"7";"3.278";"2.373";"-0.770"
"29";"k";"7";"2.790";"2.263";"-1.257"
"30";"náš";"6";"4.762";"2.359";"0.713"
"31";"už";"6";"3.507";"2.234";"-0.540"
"32";"svět";"6";"5.362";"2.390";"1.312"
"33";"jako";"6";"2.924";"2.127";"-1.123"
"34";"co";"6";"2.919";"2.126";"-1.128"
"35";"on";"6";"1.748";"1.720";"-2.299"
"36";"o";"5";"2.211";"1.753";"-1.836"
"37";"oni";"5";"2.989";"1.954";"-1.059"
"38";"většina";"5";"6.237";"2.206";"2.182"
"39";"evropský";"5";"6.454";"2.211";"2.397"
"40";"řada";"5";"5.705";"2.193";"1.652"
"41";"jiný";"5";"4.444";"2.133";"0.394"
"42";"oblast";"4";"5.715";"1.962";"1.661"
"43";"strana";"4";"4.754";"1.926";"0.704"
"44";"moci";"4";"2.397";"1.620";"-1.650"
"45";"!";"4";"3.589";"1.834";"-0.459"
"46";"mnoho";"4";"5.747";"1.963";"1.692"
"47";"tak";"4";"2.589";"1.668";"-1.458"
"48";"od";"4";"3.073";"1.762";"-0.974"
"49";"velký";"4";"3.498";"1.823";"-0.550"
"50";"jakýkoli";"4";"7.026";"1.985";"2.961"
"51";"žít";"4";"5.719";"1.962";"1.664"
"52";"muset";"4";"3.464";"1.819";"-0.585"
"53";"svůj";"4";"2.509";"1.649";"-1.539"
"54";"ale";"4";"1.922";"1.472";"-2.125"
"55";"nový";"4";"3.932";"1.869";"-0.117"
"56";"proto";"4";"4.822";"1.929";"0.771"
"57";"všude";"4";"7.554";"1.989";"3.480"
"58";"město";"3";"4.406";"1.650";"0.355"
"59";"živočich";"3";"9.061";"1.729";"4.912"
"60";"sice";"3";"5.657";"1.698";"1.601"
"61";"způsob";"3";"5.212";"1.685";"1.158"
"62";"stát";"3";"3.121";"1.533";"-0.927"
"63";"platit";"3";"5.963";"1.704";"1.904"
"64";"druh";"3";"5.598";"1.696";"1.542"
"65";"další";"3";"3.413";"1.569";"-0.636"
"66";"známý";"3";"5.401";"1.691";"1.346"
"67";"pokud";"3";"4.235";"1.640";"0.185"
"68";":";"3";"2.116";"1.332";"-1.931"
"69";"úplně";"3";"5.440";"1.692";"1.385"
"70";"velmi";"3";"4.567";"1.659";"0.516"
"71";"dokázat";"3";"4.768";"1.668";"0.716"
"72";"žena";"3";"4.374";"1.649";"0.324"
"73";"teď";"3";"4.255";"1.641";"0.205"
"74";"obor";"3";"6.878";"1.717";"2.809"
"75";"cokoli";"3";"7.497";"1.722";"3.415"
"76";"současný";"3";"5.940";"1.704";"1.881"
"77";"malý";"3";"4.088";"1.630";"0.038"
"78";"stejně";"3";"4.813";"1.670";"0.761"
"79";"nyní";"3";"5.607";"1.697";"1.551"
"80";"bez";"3";"4.157";"1.635";"0.107"
"81";"nikdo";"3";"5.026";"1.679";"0.973"
"82";"když";"3";"2.402";"1.404";"-1.645"
"83";"či";"3";"4.036";"1.626";"-0.013"
"84";"mluvit";"3";"5.048";"1.680";"0.995"
"85";"který";"3";"1.049";"0.895";"-2.997"
"86";"Evropa";"3";"6.057";"1.706";"1.997"
"87";"...";"3";"3.425";"1.571";"-0.624"
