"1";"cs: čeština";"NFC: oborová literatura";"PRO: profesní literatura";"FTS: formální a technické vědy";"ICT: výpočetní technika";"<s> Na rozdíl od zpráv Windows , které mají vždy dva";"parametry ( nepočítaje samozřejmě";"handle okna a vlastní identifikátor zprávy ) - wParam a"
"2";"cs: čeština";"NMG: publicistika";"NEW: tradiční publicistika";"X: neuvedeno";"NTW: celostátní tisk";"dostane i ten nepřesvědčený . </s><s> Některá tištěná média , Reflex";"v to počítaje ,";"jsou zatím naštěstí ještě poměrně univerzální v tom smyslu ,"
"2";"cs: čeština";"NMG: publicistika";"NEW: tradiční publicistika";"X: neuvedeno";"REG: regionální tisk";"škodu ve výši 2 500 korun , další starosti a";"problémy nepočítaje .";"</s><s> Dotace pomohly botanické zahradě </s><s> Tábor – V rámci dotačního programu"
"2";"cs: čeština";"NMG: publicistika";"LEI: volnočasová publicistika";"X: neuvedeno";"HOU: bydlení, zahrada, hobby";"+ 1 proměnili architekti ve 4 + kk , menší";"místnůstky nepočítaje .";"</s><s> Z nejhezčího západního pokoje se zimní zahradou a sousední místnosti"
"2";"sv: švédština";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"náčelník v celém Finnvedenu , se sto čtyřiceti krávami ,";"jalůvky v to nepočítaje ,";"a z nejstaršího rodu . “ </s><s> „ Já o svém"
"2";"cs: čeština";"NMG: publicistika";"LEI: volnočasová publicistika";"X: neuvedeno";"LIF: životní styl";", by se vám mělo vejít do otevřené dlaně ,";"prsty nepočítaje .";"</s><s> Vždycky sáhněte po libovém , například po steaku nebo hovězím"
"2";"cs: čeština";"NFC: oborová literatura";"SCI: odborná literatura";"SSC: sociální vědy";"LAW: právo";"kvalitní , může vzejit jen ze tří ostatních fakult ,";"vlastní nepočítaje .";"</s><s> V soutěži mezinárodní se laťka přímo úměrně zvyšuje s počtem"
"2";"cs: čeština";"NMG: publicistika";"LEI: volnočasová publicistika";"X: neuvedeno";"SPO: sport";"Plzně jste borce s podobnými dispozicemi našli jen tři (";"brankáře nepočítaje )";". </s><s> Jestli má doplňování slávistického kádru nějakou souvislost s postavou"
"2";"ru: ruština";"NFC: oborová literatura";"MEM: memoáry, autobiografie";"MEM: memoáry, autobiografie";"MEM: memoáry, autobiografie";"měl pravdu – byl to už třetí případ ( zohavenou";"lžíci nepočítaje )";", kdy jsem měl vskutku z pekla štěstí . </s><s> Jako"
"2";"en: angličtina";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"tom , že by pro někoho znamenala něco zvláštního –";"Boha v to počítaje .";"</s><s> Jemně , ale důkladně čistila rány , dokud nebylo vidět"
"3";"cs: čeština";"NFC: oborová literatura";"SCI: odborná literatura";"SSC: sociální vědy";"ECO: ekonomie, obchod, logistika";". Kč . </s><s> Odpisy se stanoví s přesností na celé";"měsíce , počítaje následujícím";"měsícem po dni , kdy byly splněny podmínky pro odpisování"
