"1";"NFC: oborová literatura";"2391";"59.38"
"2";"FIC: beletrie";"2343";"56.33"
"3";"NMG: publicistika";"1779";"44.51"
"1";"NOV: próza";"1954";"60.1"
"2";"NEW: tradiční publicistika";"1179";"49.44"
"3";"POP: populárně naučná literatura";"1078";"68.16"
"4";"SCI: odborná literatura";"688";"62.07"
"5";"LEI: volnočasová publicistika";"600";"37.22"
"6";"COL: kratší próza";"336";"50.98"
"7";"MEM: memoáry, autobiografie";"333";"69.36"
"8";"PRO: profesní literatura";"291";"35.7"
"9";"VER: poezie";"33";"28.11"
"10";"SCR: drama";"20";"15.22"
"11";"ADM: administrativa";"1";"2.4"
"1";"X: neuvedeno";"4122";"50.54"
"2";"HUM: humanitní vědy";"769";"90.58"
"3";"SSC: sociální vědy";"484";"57.29"
"4";"NAT: přírodní vědy";"409";"48.24"
"5";"MEM: memoáry, autobiografie";"333";"69.36"
"6";"FTS: formální a technické vědy";"297";"35.25"
"7";"ITD: interdisciplinární";"98";"81.05"
"8";"ADM: administrativa";"1";"2.4"
"1";"X: neuvedeno";"2343";"56.33"
"2";"NTW: celostátní tisk";"1059";"59.51"
"3";"HIS: historie, biografie";"343";"142.01"
"4";"MEM: memoáry, autobiografie";"333";"69.36"
"5";"TEC: technika";"185";"37.99"
"6";"MED: lékařství";"170";"61.12"
"7";"PHI: filozofie, náboženství";"152";"93.52"
"8";"ECO: ekonomie, obchod, logistika";"150";"71.2"
"9";"INT: zajímavosti ze světa";"143";"72.06"
"10";"BIO: biologie";"134";"54.18"
"11";"LIF: životní styl";"131";"25.86"
"12";"REG: regionální tisk";"120";"19.83"
"13";"MIX: společnost";"106";"46.06"
"14";"ITD: interdisciplinární";"98";"81.05"
"15";"SCT: společenský život";"97";"35.73"
"16";"LAN: filologie";"92";"54.01"
"17";"MUS: hudba";"88";"189.24"
"18";"SOC: sociologie";"85";"85.61"
"19";"POL: politika, vojenství";"84";"96.52"
"20";"SPO: sport";"76";"54.79"
"21";"PSY: psychologie";"76";"45.96"
"22";"ICT: výpočetní technika";"73";"23.79"
"23";"HOU: bydlení, zahrada, hobby";"47";"17.64"
"24";"AGR: zemědělství, chovatelství";"40";"29.15"
"25";"INF: knihovnictví, informatika";"40";"63.35"
"26";"MAT: matematika";"39";"80.09"
"27";"LAW: právo";"37";"49.34"
"28";"EDU: pedagogika";"33";"31.74"
"29";"ART: umění, architektura";"29";"37.09"
"30";"GEO: geografie, geologie";"24";"37.0"
"31";"PHY: fyzika";"23";"26.8"
"32";"REC: sport, rekreace, hobby";"19";"18.34"
"33";"CHE: chemie";"18";"52.35"
"34";"THE: divadlo, film, tanec";"13";"40.04"
"35";"ANT: antropologie, etnografie";"12";"22.1"
